,Planet,Star,Star type,Mass,Radius,Density,Flux,Teq,Orbit Period,Distance (ly)
0,Earth,Sun,G2V,1.00,1.00,5.514,1.00,255,365.25,0
1,Teegarden's Star b,Teegarden's Star,M7V,≥1.05,~1.02,—,1.15,264,4.91,12.5
2,TOI-700 d,TOI-700,M2V,~1.72,1.14,—,0.87,246,37.4,101
3,Kepler-1649c,Kepler-1649,M5V,~1.20,1.06,—,0.75,237,19.5,301
4,TRAPPIST-1d,TRAPPIST-1,M8V,0.39,0.78,3.39,1.12,258,4.05,41
5,Luyten b,Luyten's Star,M3V,≥2.89,~1.35,—,1.06,258,18.65,12.3
6,LP 890-9 c,LP 890-9,M6V,—,1.37,—,0.91,272,8.46,105
7,K2-72e,K2-72,M?V,~2.21,1.29,—,1.30,261,24.2,217
8,Gliese 1061 d,Gliese 1061,M5V,≥1.64,~1.16,—,0.69,218,13.0,12
9,Gliese 1002 b,Gliese 1002,M5V,≥1.08,~1.03,—,0.67,231,10.3,15.8
10,Gliese 1061 c,Gliese 1061,M5V,≥1.74,~1.18,—,1.45,275,6.7,12
11,Kepler-296e,Kepler-296,K7V,~2.96,1.52,—,1.00,276,34.1,737
12,Wolf 1069 b,Wolf 1069,M5V,≥1.26,~1.08,—,0.65,250,15.6,31.2
13,TRAPPIST-1e,TRAPPIST-1,M8V,0.69,0.92,5.65,0.65,230,6.1,41
14,Proxima Centauri b,Proxima Centauri,M5V,≥1.27,~1.30,—,0.70,228,11.186,4.25
15,Kepler-442b,Kepler-442,K5V,~2.36,1.35,—,0.70,233,112.3,1193
16,Kepler-62f,Kepler-62,K2V,~2.8,1.41,—,0.41,204,267.3,981
17,TRAPPIST-1f,TRAPPIST-1,M8V,1.04,1.04,3.3±0.9,0.37,200,9.2,41
18,Teegarden's Star c,Teegarden's Star,M7V,≥1.11,~1.04,—,0.37,199,11.4,12.5
19,Kepler-1229b,Kepler-1229,M?V,~2.54,1.40,—,0.32,213,86.8,865
20,Kepler-186f,Kepler-186,M1V,~1.71,1.17,—,0.29,188,129.9,579
21,TRAPPIST-1g,TRAPPIST-1,M8V,1.32,1.13,4.186,0.25,182,12.4,41
22,Gliese 1002 c,Gliese 1002,M5V,≥1.36,~0.12,—,0.26,182,21.2,15.8
23,Kepler-452b,Kepler-452,G2V,~5,1.63,—,1.11,261,384.8,1799
24,Kepler-62e,Kepler-62,K2V,~4.5,1.61,—,1.15,264,122.4,981
25,Kepler-1652b,Kepler-1652,M?V,—,1.60,—,0.84,244,38.1,822
26,Wolf 1061c,Wolf 1061,M3V,≥3.41,~1.60,—,1.30,271,17.9,13.8
27,Kepler-1410b,Kepler-1410,K?V,—,1.78,—,1.07,274,60.9,1196
28,Gliese 667 Cc,Gliese 667 C,M1V,≥3.81,~1.54,—,0.88,277,28.1,23.62
29,Kepler-1544 b,Kepler-1544,K2V,—,1.78,—,0.84,248,168.8,1092
30,Kepler-283c,Kepler-283,K5V,—,1.82,—,0.89,248,92.7,1526
31,Ross 508 b,Ross 508,M4V,≥4.00,—,—,1.32,,10.8,37
32,Kepler-1638b,Kepler-1638,G4V,—,1.87,—,1.39,276,259.3,4973
33,Ross 128 b,Ross 128,M4V,≥1.40,~1.80,—,1.48,280,9.87,11.0
34,Kepler-440b,Kepler-440,K6V,—,1.91,—,1.44,273,101.1,981
35,Gliese 433 d,Gliese 433,M2V,≥5.22,—,—,1.06,,36.1,29.6
36,Kepler-1653b,Kepler-1653,K?V,—,2.17,—,1.04,258,140.3,2461
37,Kepler-705b,Kepler-705,M?V,—,2.11,—,0.77,243,56.1,903
38,K2-332b,K2-332,M?V,—,2.20,—,1.17,,17.7,402
39,Kepler-155c,Kepler-155,M0V,—,2.24,—,1.05,,52.7,957
40,TOI-2257 b,TOI-2257,M3V,—,2.20,—,0.74,,35.2,188
41,Kepler-443b,Kepler-443,K3V,—,2.35,—,0.89,247,177.7,2615
42,Kepler-22b,Kepler-22,G5V,—,2.38,—,1.10,261,289.9,635
43,Kepler-1701b,Kepler-1701,K?V,—,2.22,—,1.42,275,169.1,1904
44,Kepler-1606b,Kepler-1606,G?V,—,2.07,—,1.64,277,196.4,2710
45,K2-9b,K2-9,M2V,—,2.25,—,1.45,279,18.4,270
46,Gliese 180 c,Gliese 180,M2V,≥6.40,—,—,0.78,239,24.3,39
47,Gliese 163 c,Gliese 163,M3V,≥6.80,—,—,1.25,277,25.6,49
48,Kepler-1540b,Kepler-1540,K?V,—,2.49,—,0.78,250,125.4,799
49,Kepler-174d,Kepler-174,K3V,—,2.19,—,0.59,206,247.4,1254
50,HD 40307 g,HD 40307,K2V,≥7.09,—,—,0.67,226,197.8,42
51,Kepler-296f,Kepler-296,K7V,—,1.80,—,0.44,225,63.3,737
52,HIP 38594 b,HIP 38594,M0V,≥8.10,—,—,1.34,,60.7,58
53,K2-288Bb,K2-288 B,M3V,—,1.91,—,0.44,207,31.4,214
54,HD 216520 c,HD 216520,K0V,≥9.44,—,—,1.28,,154.4,64
55,Gliese 3293 d,Gliese 3293,M2V,≥7.60,—,—,0.59,223,48.1,66
56,LHS 1140 b,LHS 1140,M4V,5.60,1.73,5.9±0.3,0.43,226,24.7,49
57,Gliese 357 d,Gliese 357,M2V,≥6.10,—,—,0.38,200,55.7,31
58,Gliese 229 Ac,Gliese 229 A,M1V,≥8.57,—,—,0.44,216,121.9,18.8
59,Gliese 514 b,Gliese 514,M1V,≥5.20,—,—,0.27,202,140.4,25
60,Gliese 180 d,Gliese 180,M2V,≥7.56,—,—,0.26,,106.3,39
61,Gliese 625 b,Gliese 625,M2V,≥2.82,—,—,,,14.628,21.1
62,L 98-59 f,L 98-59,M3V,≥2.46,—,—,>1,~280,23.15,34.6
